Ticker,Sektor,Subsektor,Industri,Subindustri,Period,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
ADMF,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,TTM (Q1),"1,643 B","1,545 B","1,811 B","1,944 B","1,606 B","1,213 B","1,026 B","2,109 B","1,815 B","1,409 B",-,-,-,-,-,-,-,-
ADMF,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Div (TTM),630.00,630.00,703.00,972.00,803.00,607.00,513.00,"1,054.50",908.00,704.50,-,-,-,-,-,-,-,-
ADMF,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Payout Ratio,40.20%,50.39%,61.76%,50.00%,50.01%,50.05%,50.02%,50.01%,50.02%,49.99%,-,-,-,-,-,-,-,-
ADMF,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Div Yield,7.16%,6.92%,7.58%,6.81%,7.59%,6.86%,6.18%,13.18%,8.49%,7.58%,-,-,-,-,-,-,-,-
ADMG,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Q1,32 B,(17 B),(23 B),(118 B),(75 B),13 B,(62 B),(44 B),33 B,38 B,-,-,-,-,-,-,-,-
ADMG,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Q2,-,17 B,(10 B),(11 B),(110 B),58 B,(98 B),(102 B),104 B,(88 B),-,-,-,-,-,-,-,-
ADMG,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Q3,-,17 B,(33 B),(37 B),(111 B),(9 B),(154 B),(137 B),(16 B),(24 B),-,-,-,-,-,-,-,-
ADMG,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Q4,-,(70 B),(95 B),(129 B),(102 B),(56 B),(249 B),(135 B),(148 B),(35 B),-,-,-,-,-,-,-,-
ADMG,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Annualised,129 B,(52 B),(162 B),(292 B),(398 B),5 B,(564 B),(419 B),(18 B),(109 B),-,-,-,-,-,-,-,-
ADMG,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,TTM (Q1),(4 B),(52 B),(162 B),(292 B),(398 B),5 B,(564 B),(419 B),(18 B),(109 B),-,-,-,-,-,-,-,-
ADMG,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Div (TTM),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ADMG,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Payout Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ADMG,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Div Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ADMR,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Q1,"1,479 B","1,071 B","1,818 B","1,290 B","1,197 B",126 B,-,-,-,-,-,-,-,-,-,-,-,-
ADMR,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Q2,-,"1,239 B","2,148 B","1,171 B","1,727 B",364 B,-,-,-,-,-,-,-,-,-,-,-,-
ADMR,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Q3,-,"1,043 B","1,331 B","1,324 B","1,229 B",211 B,-,-,-,-,-,-,-,-,-,-,-,-
ADMR,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Q4,-,"1,117 B","1,638 B","2,978 B",747 B,"1,516 B",(407 B),(6 B),(751 B),-,-,-,-,-,-,-,-,-
ADMR,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Annualised,"5,914 B","4,469 B","6,921 B","6,728 B","4,942 B","2,220 B",(412 B),(6 B),(722 B),-,-,-,-,-,-,-,-,-
ADMR,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,TTM (Q1),"4,871 B","4,469 B","6,921 B","6,728 B","4,942 B","2,220 B",-,-,-,-,-,-,-,-,-,-,-,-
ADMR,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Div (TTM),50.62,50.62,47.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ADMR,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Payout Ratio,34.99%,46.31%,28.25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ADMR,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Div Yield,2.95%,2.68%,4.69%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ADRO,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Q1,"2,160 B","1,255 B","5,864 B","6,977 B","5,739 B","1,018 B","1,397 B","1,680 B","1,010 B","1,297 B",-,-,-,-,-,-,-,-
