province,bkpm_sector,idx_netincome_latest,idx_netincome_year,Peluang,PDRB_2024,Realisasi_Investasi,Kawasan_Industri
Kalimantan Timur,PERINDUSTRIAN,165583339000000.0,2025,15 Proyek,,"PMA (US$ Ribu) : 16.778.176,7 | PMDN (Rp Juta) : 312.195.897,6",4 Kawasan
Kalimantan Timur,PERTAMBANGAN,93828770000000.0,2025,15 Proyek,,"PMA (US$ Ribu) : 16.778.176,7 | PMDN (Rp Juta) : 312.195.897,6",4 Kawasan
Kalimantan Utara,PERINDUSTRIAN,165583339000000.0,2025,3 Proyek,Rp 254.265.656.970.000,"PMA (US$ Ribu) : 4.203.414,1 | PMDN (Rp Juta) : 45.213.244,7",1 Kawasan
Kalimantan Utara,PENGANGKUTAN,3183856000000.0,2025,3 Proyek,Rp 254.265.656.970.000,"PMA (US$ Ribu) : 4.203.414,1 | PMDN (Rp Juta) : 45.213.244,7",1 Kawasan
Kalimantan Utara,PERIKANAN,10266634000000.0,2025,3 Proyek,Rp 254.265.656.970.000,"PMA (US$ Ribu) : 4.203.414,1 | PMDN (Rp Juta) : 45.213.244,7",1 Kawasan
Kalimantan Utara,PERTAMBANGAN,93828770000000.0,2025,3 Proyek,Rp 254.265.656.970.000,"PMA (US$ Ribu) : 4.203.414,1 | PMDN (Rp Juta) : 45.213.244,7",1 Kawasan
Sulawesi Utara,PENGANGKUTAN,3183856000000.0,2025,2 Proyek,Rp 90.203.560.000.000,"PMA (US$ Ribu) : 6.335.001,8 | PMDN (Rp Juta) : 45.568.439,4",3 Kawasan
Sulawesi Utara,ENERGI,22543058000000.0,2025,2 Proyek,Rp 90.203.560.000.000,"PMA (US$ Ribu) : 6.335.001,8 | PMDN (Rp Juta) : 45.568.439,4",3 Kawasan
Sulawesi Utara,KONSTRUKSI,4725103000000.0,2025,2 Proyek,Rp 90.203.560.000.000,"PMA (US$ Ribu) : 6.335.001,8 | PMDN (Rp Juta) : 45.568.439,4",3 Kawasan
Sulawesi Utara,PERDAGANGAN,17749000000000.0,2025,2 Proyek,Rp 90.203.560.000.000,"PMA (US$ Ribu) : 6.335.001,8 | PMDN (Rp Juta) : 45.568.439,4",3 Kawasan
Sulawesi Utara,PERTANIAN,34532000000000.0,2025,2 Proyek,Rp 90.203.560.000.000,"PMA (US$ Ribu) : 6.335.001,8 | PMDN (Rp Juta) : 45.568.439,4",3 Kawasan
Sulawesi Utara,PERTAMBANGAN,93828770000000.0,2025,2 Proyek,Rp 90.203.560.000.000,"PMA (US$ Ribu) : 6.335.001,8 | PMDN (Rp Juta) : 45.568.439,4",3 Kawasan
